artist,song,link,text
Westlife,Forever,/w/westlife/forever_20145929.html,"  
  
  
  
  
  
I'll be loving you forever,  
  
Deep inside my heart you leave me never,  
  
Even if you took my heart,  
  
And tore it apart,  
  
I would love you still, forever,  
  
  
You are the sun,  
  
You are my light,  
  
And you're the last thing on my mind, before I go to sleep at night,  
  
You're always round,  
  
When I'm in need,  
  
When troubles on my mind,  
  
You put my soul at ease,  
  
  
There is no one in this world,  
  
Who can love me like you do,  
  
That is the reason that I,  
  
want to spend forever with you,  
  
  
I'll be loving you forever,  
  
Deep inside my heart you leave me never,  
  
Even if you took my heart,  
  
And tore it apart,  
  
I would love you still, forever,  
  
  
We've had a fun,  
  
We've made mistakes,  
  
But who'd have guessed along that road, we'd learn to give and take,  
  
It's so much more than I could have dreamed,  
  
Cause you've make loving you, so easy for me,  
  
  
There is no one in this world,  
  
Who can love me like you do,  
  
That is the reason that I,  
  
want to spend forever with you,  
  
  
I'll be loving you forever,  
  
Deep inside my heart you leave me never,  
  
Even if you took my heart,  
  
And tore it apart,  
  
I would love you still, forever,  
  
  
And girl I pray you leave me, never,  
  
  
Cause this is the world, where lovers often go astray,  
  
But if we learn each other, we won't go that way,  
  
So put your doubts aside,  
  
Do what it takes to make it right,  
  
I love you, forever, no-one can tear us apart,  
  
  
I'll be loving you forever, ( forever)  
  
Deep inside my heart you leave me never,  
  
Even if you took my heart, ( took my heart girl)  
  
And tore it apart, ( you tore it apart now)  
  
I would love you still, forever,  
  
And I'll be loving you forever, (forever)  
  
Deep inside my heart you leave me never,  
  
Even if you took my heart, ( you took my heart girl)  
  
And tore it apart, ( you tore it apart now)  
  
I would love you still, forever,  
  
I'll be loving you forever,  
  
Deep inside my heart you leave me never,  
  
Even if you took my heart,  
  
And tore it apart,  
  
I would love you still, forever.  
  

"
Sublime,Romeo,/s/sublime/romeo_20133128.html,"  
  
  
  
  
I have a secret place inside my mind  
  
where I keep hidden inspiration you will find.  
  
And when my petty anger goes to my head  
  
you'll find I'm better off dead.  
  
Oh and I don't hold the key  
  
to find out what is killing me its  
  
been so long but somehow i just still care  
  
I am a Romeo am a Romeo with no place to go  
  
  
Sometimes I think you hate me hang up the phone  
  
but take a closer look this hate I feel is my own.  
  
So many times I've loved you, more than myself,  
  
it's time to take that love and put it on the shelf.  
  
Oh, and when I hold you tight,  
  
it makes me want to scream and fight.  
  
Love turned to hate,  
  
some how it's just, how it's just,  
  
how it's just to late.  
  
  
I am a Romeo, am a Romeo with no place to go  
  
  
Rock the reggae music, 'cause it sounds so fine, right!  
  
When I hold you tight, in my arms you are mine,  
  
but in the morning when I wake up and I still feel the same,  
  
I know something goin on and I know who's to blame.  
  
Everytime I tell you I'm the real Romeo,  
  
it fills my soul and heart with anger, pain, and sorrow.  
  
'cause' somthings going on and I think you should know,  
  
so listen to my rhyme, 'cause this is how it goes:  
  
  
In a tight mini short in a short mini skirt,  
  
it feels so wrong and it feels so right.  
  
the more I think about it you're a pain in the ass,  
  
I told you many times, this time it's gonna last.  
  
Want the kind of woman who can make me feel right,  
  
not sloppy drunk sex on a Saturday night. 'cause,  
  
  
I am a Romeo, am a Romeo with no place to go  
  
  
Pull up your honey if you gotta one see,  
  
because your down with the style, 'cause your down with me. oh,  
  
rig the selector when your on the mixer,  
  
along with Peter Mitchell upon the echo chamber. Two, one,  
  
no they must see but no, they can't test me.  
  
Two, three of them come and say you can't test me.  
  
Because me rock the reggae music in a different stylee.  
  
Me rock the kinda reggae music right on time, because your down with the  
  
band that they call Sublime, right?  
  
  
Don't take it too slow, don't take me wrong,  
  
me know which way to go, me, me, me, me alright,  
  
me rock the reggae music day and all night.  
  
  
Makes you want to explode,  
  
makes me want to explode,  
  
makes me want to explode,  
  
makes you want to explode,  
  
sometimes it makes you want to explode.  
  

"
Veruca Salt,Benjamin,/v/veruca+salt/benjamin_20144047.html,"  
  
  
  
  
Take me away  
  
I know I could use a rest  
  
I want to clear up this mess  
  
I need a few days with my good sense  
  
I need a few good days  
  
Benjamin, no, oh...  
  
Benjamin, no, oh...  
  
Benjamin, no...  
  
where did you go?  
  
no, no...  
  
when you were falling from my tree  
  
I was not scared  
  
I thought you'd meet me back up there  
  
it never dawned on me you were home free  
  
it never dawned on me, no...  
  
Benjamin, no, oh...  
  
Benjamin, no, oh...  
  
Benjamin, no...  
  
where did you go?  
  
no, no, no...  
  
Benjamin, no, oh...  
  
Benjamin, no, oh...  
  
Benjamin, no...  
  
where did you go?  
  
no, no...  
  
you said that I could tie you down, no...  
  
you said that I could tie you down, no...  
  
you said that I could tie you down, no...  
  
you said that I could tie you down, no...  
  
take me away  
  
I know I could use the rest  
  

"
Veruca Salt,With David Bowie,/v/veruca+salt/with+david+bowie_20144062.html,"  
  
  
  
  
will it ever come?  
  
like it did for you  
  
like it did for you  
  
I kinda heard you singing  
  
oh, I never knew  
  
no, I never knew  
  
my heart skips around  
  
when I hear the sound  
  
I'm never alone  
  
cause you're following me home  
  
I'm falling in love  
  
my walkman and me  
  
with David Bowie  
  
yeah  
  
(you betcha)  
  
with teenage medication  
  
flowing through my veins  
  
I can face the strain and  
  
it's causing a sensation  
  
that I can't explain  
  
yeah, I can't explain  
  
my heart skips around  
  
when I hear the sound  
  
I'm never alone  
  
cause you're following me home  
  
I'm falling in love  
  
my walkman and me  
  
with David Bowie  
  
you want me to sing  
  
I can, I can  
  
you want me to play  
  
I can, I can  
  
you want to be in a band  
  
I can  
  
I'll never be anything more than I was today  
  
than I was today  
  
(yeah)  
  
and will it ever come?  
  
like it did for you  
  
like it did for you  
  
I kinda heard you singing  
  
oh, I never knew  
  
no, I never knew  
  
my heart skips around  
  
when I hear the sound  
  
I'm never alone  
  
cause you're following me home  
  
I'm falling in love  
  
my best friend and me  
  
with David Bowie  
  
him and me  
  
in a tree  
  
i-n-g  
  
yeah  
  
like it did for you  
  
I kinda heard you singing  
  

"
Divine,All You Need,/d/divine/all+you+need_20040850.html,"  
  
  
  
1 I can be all that you need  
  
If you're willing to let me  
  
Let me show you just how sweet it can be  
  
You and me  
  
We can be if your mind and heart's ready  
  
Baby just let me be all you need  
  
I'm made of things that's nice  
  
Like chocolate sugar spice  
  
The kind of quality that's rarely seen  
  
Oh babe to put you in the zone  
  
I'm the kind that you take home  
  
To meet your family  
  
Fulfill your every want and need  
  
Slowly, gently, softly  
  
Baby close your eyes, and open your mind  
  
To what's in store for you  
  
I'll take you on a magic carpet ride into my world  
  
So you can see that I'm the one you need, oh  
  
Repeat 1  
  
I can't explain the way  
  
You make me feel inside  
  
I know you feel it, too  
  
And when I'm all alone  
  
You call me on the telephone  
  
Boy I'm just hooked on you  
  
Slowly, gently, softly  
  
Baby just close your eyes, open your mind  
  
To what's in store for you  
  
I'll take you on a magic carpet ride into my world  
  
So you can see that I'm the one you need  
  
Repeat 1  
  
I'll show you love  
  
Like none you've ever experienced  
  
It's now or never 'cause you'll never find  
  
Another love like mine  
  
Yeah, ah, my girl Nik in the house  
  
My girl Kia, and it's Tonia  
  
And we Divine, for your mind  
  
One time baby  
  
Ah ah, Ya don't stop, let the beat drop  
  
Yo, check it  
  
I'm just trying to say right here  
  
I'll be all you need, word  
  
Repeat 1 until fade  
  

"
Cake,Mr. Mastodon Farm,/c/cake/mr+mastodon+farm_10055565.html,"  
  
  
  
Birds fall from the window ledge above mine.  
  
Then they flap their wings at the last second.  
  
You see birds fall from the window ledge above mine.  
  
Then they flap their wings at the last second.  
  
I can see their dead weight  
  
Just dropping like stones  
  
For small loaves of bread  
  
Past my window all the time.  
  
But unless I get up  
  
Walk across the room  
  
And peer down below  
  
I don't see their last second curves  
  
Toward a horizontal flight.  
  
All these birds just falling from the ledge like stones.  
  
Now due to a construct in my mind  
  
That makes their falling and their flight  
  
Symbolic of my entire existence,  
  
It becomes important for me  
  
To get up and see  
  
Their last second curves toward flight.  
  
It's almost as if my life will fall  
  
Unless I see their ascent.  
  
Mr. Mastodon Farm,  
  
Mr. Mastodon Farm,  
  
Cuts swatches out of all material.  
  
Mr. Mastodon Farm,  
  
Mr. Mastodon Farm,  
  
Cuts swatches out of all material.  
  
Birds fall from the window ledge above mine.  
  
Then they flap their wings at the last second.  
  
I said birds fall from the window ledge above mine.  
  
Then they flap their wings at the last second.  
  
But unless I get up,  
  
Walk across the room  
  
And peer down below,  
  
I won't see their last second curves  
  
Toward a, a horizontal flight.  
  
All these birds just falling from the ledge like stones.  
  
Now due to a construct in my mind  
  
That makes their falling and their flight  
  
Symbolic of my entire existence,  
  
It becomes important for me  
  
To get up and see  
  
Their last second curves toward flight.  
  
It's almost like my life will fall,  
  
My life will fall,  
  
Unless I see their ascent.  
  
Mr. Mastodon Farm,  
  
Mr. Mastodon Farm,  
  
Cuts swatches out of all material.  
  
Mr. Mastodon Farm,  
  
Mr. Mastodon farm,  
  
Cuts swatches out of all material.  
  
Mr. Mastodon Farm,  
  
Mr. Mastodon farm,  
  
Cuts swatches out of all material.  
  

"
Natalie Imbruglia,Pigeons And Crumbs,/n/natalie+imbruglia/pigeons+crumbs_20098238.html,"  
  
  
  
Gotta get back  
  
Gotta figure out a way  
  
I'm losing my senses to you  
  
Where'd it go the bluebird I should follow  
  
Back home? But where is home?  
  
Guess it won't amount to much  
  
Won't be long before I crush  
  
I'll stand in line  
  
Don't believe a thing they say today  
  
Seems we all get lost amongst the pigeons and the crumbs  
  
All alone  
  
But I'm in a crowded room  
  
I'm sinking in quicksand tonight  
  
You pick me up , and I shine across the sky till morning , then you  
  
colour me in  
  
Guess it won't amount  
  
to much  
  
Seems to me I've lost my touch  
  
I'm back in line  
  
Don't believe a thing they say today  
  
Turn around and walk away  
  
Everything will go your way , I pray  
  
Seems we all get lost amongst the pigeons and the crumbs  
  

"
Wyclef Jean,Gunpowder,/w/wyclef+jean/gunpowder_20147492.html,"  
  
  
  
I asked my mother why do you cry  
  
she said your brother had... he just died  
  
Well I told him not to go outside  
  
he said he had to fight for his country's right  
  
But don't you know that mo-mother  
  
don't you know that we can't stop the violence, no  
  
Because the war is not over  
  
until you can feel love, peace, and hear silence  
  
But I smell gunpowder (pow)  
  
my brother's been dead ever since  
  
I didn't believe it, but when I saw him I was convinced  
  
Two shots to the head he was already dead Lord,  
  
I headed for revenge in the city of Port Au Prince  
  
Screaming bro-brother  
  
don't you know that we can't stop the violence, no  
  
Because the war is not over  
  
until you can feel love, peace, and hear silence  
  
But I smell gunpowder (Pow)  
  
Zion's gunpowder (pow)  
  
L.A.'s gunpowder (pow)  
  
I want to know why  
  
Christians pray for a new day  
  
we don't need no, we don't need no, we don't need no  
  
But its still the same way  
  
I want to know why  
  
ghetto people pray for a new day  
  
hey, hey, heeey  
  
and its still the same way  
  
But the preacher man told me  
  
good things come to those who wait  
  
do good things come to those who wait?  
  
I want to know tell me  
  
good things come to those who wait  
  
do good things come to those who wait?  
  
we want to know, we want to know, we want to know [pause]  
  
Pe-people  
  
don't you know that we can't stop the violence, no  
  
because the war is not over  
  
until you can feel love, peace, and hear the silence  
  
but I smell gunpowder (gunpowder)  
  
Brooklyn's gunpowder (gunpowder)  
  
Shaolin's gunpowder (gunpowder)  
  
Uptown's gunpowder (gunpowder)  
  
Jersey's gunpowder (gunpowder)  
  
even New Zealand's gunpowder (gunpowder)  
  
Australia's gunpowder (gunpowder)  
  
Brixton's gunpowder (gunpowder)  
  
even New Haven's gunpowder  
  

"
Westlife,Let's Make Tonight Special,/w/westlife/lets+make+tonight+special_20145931.html,"  
  
  
  
I'll give the world to make you mine  
  
'Cause I can't go on without you this time  
  
What are you doing tonight baby?  
  
Lets make tonight special  
  
All I'm asking for is a little word  
  
I look in your eyes  
  
(And) baby i see  
  
You are the only one i ever need  
  
Right from the start you were  
  
There in my heart and soul  
  
Cause baby tonight  
  
we'll make it right  
  
we'll light some candlelight  
  
make it all right  
  
cause I can't go on without you this time..(this time)  
  
  
(CHORUS)  
  
So lets make tonight special  
  
Something beautiful that  
  
We'll always treasure  
  
Lets make tonight so right  
  
We will make it a night to remember  
  
All our lives  
  
  
Baby tonight  
  
I hold you tight  
  
We will be close by the fireside  
  
Baby I know  
  
So strong, baby strong  
  
The stars shine so bright  
  
The moon and the sky  
  
With you means more than life  
  
Since i met you  
  
My heart has been true to you  
  
  
CHORUS  
  
So lets make tonight special..  
  

"
Cake,Sad Songs And Waltzes,/c/cake/sad+songs+waltzes_20026656.html,"  
  
  
  
I'm writing a song all about you  
  
A true song as real as my tears  
  
But you've no need to fear it  
  
'Cause no one will hear it  
  
Sad songs and waltzes aren't selling this year  
  
I'll tell all about how you cheated  
  
I'd like for the whole world to hear  
  
I'd like to get even  
  
With you 'cause you're leavin'  
  
But sad songs and waltzes aren't selling this year  
  
It's a good thing that I'm not a star  
  
You don't know how lucky you are  
  
Though my record may say it  
  
No one will play it  
  
Sad songs and waltzes aren't selling this year  
  
It's a good thing that I'm not a star  
  
You don't know how lucky you are  
  
Though my record may say it  
  
No one will play it  
  
Sad songs and waltzes aren't selling this year  
  

"
